"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000279457",29.9135794276176,0.179870037717728,0.317214004994489,0.567030568908371,0.570693413084654,0.663919163912765,NA,NA,NA
"ENSG00000187634",183.229649921658,0.426124041284975,0.137395048623434,3.10145122079963,0.00192574597445831,0.00401742533789052,"SAMD11","148398","sterile alpha motif domain containing 11"
"ENSG00000188976",1651.18807619944,-0.692718734897676,0.054874656089091,-12.6236551491643,1.56390388009204e-36,1.80125686403358e-35,"NOC2L","26155","NOC2 like nucleolar associated transcriptional repressor"
"ENSG00000187961",209.637938486147,0.72987645983593,0.129368723883921,5.64183086857088,1.68251335813073e-08,5.86866698247295e-08,"KLHL17","339451","kelch like family member 17"
"ENSG00000187583",47.2551232589398,0.0398091634302083,0.265191571900457,0.150114738356584,0.880674092218431,0.915681198194868,"PLEKHN1","84069","pleckstrin homology domain containing N1"
"ENSG00000187642",11.9797501642461,0.540869748977492,0.508685506937818,1.06326942993406,0.287659784294875,0.379679097713592,"PERM1","84808","PPARGC1 and ESRR induced regulator, muscle 1"
"ENSG00000188290",108.922127976716,2.05659847189652,0.193375741761836,10.6352454199216,2.04290187287424e-26,1.70168861958346e-25,"HES4","57801","hes family bHLH transcription factor 4"
"ENSG00000187608",350.71686801731,0.257166734853633,0.101035756251474,2.54530420115384,0.0109182575996597,0.0202524647456436,"ISG15","9636","ISG15 ubiquitin like modifier"
"ENSG00000188157",9128.439421961,0.38990928396944,0.0475652627997393,8.19735372031997,2.4573655704379e-16,1.35547393743429e-15,"AGRN","375790","agrin"
"ENSG00000131591",156.479083393338,0.19676967536384,0.142623234408726,1.37964670468727,0.16769544976563,0.239731343755258,"C1orf159","54991","chromosome 1 open reading frame 159"
"ENSG00000186891",0.732334495547826,-0.366186824184426,3.82509789691039,-0.0957326672554453,0.923732895326759,0.946111259401497,"TNFRSF18","8784","TNF receptor superfamily member 18"
"ENSG00000078808",4600.33028600984,0.386618610622233,0.0489849084404395,7.89260657886747,2.95939406798705e-15,1.55049646527184e-14,"SDF4","51150","stromal cell derived factor 4"
"ENSG00000176022",903.070312267806,0.425048089164275,0.0740193954104596,5.74238801610384,9.33506125741038e-09,3.31981822709532e-08,"B3GALT6","126792","beta-1,3-galactosyltransferase 6"
"ENSG00000184163",4.52322235705183,0.329807847736084,0.82401708843374,0.400243941983011,0.688976852450192,0.766662060527035,"C1QTNF12","388581","C1q and TNF related 12"
"ENSG00000160087",1226.36024604796,0.430316845012105,0.0630855119902756,6.8211675143167,9.03035657936528e-12,3.93801215243495e-11,"UBE2J2","118424","ubiquitin conjugating enzyme E2 J2"
"ENSG00000162572",31.7776688322821,0.809641624592853,0.313093853895756,2.5859390547552,0.00971141003195442,0.0181832314673763,"SCNN1D","6339","sodium channel epithelial 1 subunit delta"
"ENSG00000131584",1067.09073092054,0.582137597609577,0.0667159157016994,8.72561804011555,2.64730803386587e-18,1.59270974316075e-17,"ACAP3","116983","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3"
"ENSG00000169972",227.376248317606,0.0840880116054613,0.119392292300041,0.704300168675397,0.481245861305161,0.579815289117901,"PUSL1","126789","pseudouridine synthase like 1"
"ENSG00000127054",922.15171909075,-0.209509105919918,0.0722621158903207,-2.89929381860214,0.00374004234987365,0.00748543373056805,"INTS11","54973","integrator complex subunit 11"
"ENSG00000224051",299.70151191683,-0.216503531800552,0.106843193591338,-2.0263670948348,0.0427271803215012,0.0705848378490247,"CPTP","80772","ceramide-1-phosphate transfer protein"
"ENSG00000169962",5.84091826930333,0.0585287614885929,0.717677857025967,0.0815529710379168,0.935002200331541,0.954009910251774,"TAS1R3","83756","taste 1 receptor member 3"
"ENSG00000107404",996.838159268406,-0.144532881157539,0.064564014257949,-2.23859812340812,0.0251820764607121,0.0435327953046578,"DVL1","1855","dishevelled segment polarity protein 1"
"ENSG00000162576",5438.1255159644,0.51622580923557,0.0425502773149081,12.132137363408,7.13621913229907e-34,7.61160446169156e-33,"MXRA8","54587","matrix remodeling associated 8"
"ENSG00000175756",1068.65776669111,0.0974684926913814,0.0653467137861526,1.491559208476,0.135814738579638,0.199202541838744,"AURKAIP1","54998","aurora kinase A interacting protein 1"
"ENSG00000221978",1362.3522672541,0.487093700346333,0.0607754365993587,8.0146474892041,1.10453344524542e-15,5.9130990944011e-15,"CCNL2","81669","cyclin L2"
"ENSG00000242485",665.629405355783,-0.119708711466307,0.075466484028452,-1.58625001558539,0.112682606075774,0.168650309029345,"MRPL20","55052","mitochondrial ribosomal protein L20"
"ENSG00000179403",108.929842536121,0.165733982398844,0.172067918484584,0.963189325810855,0.335452520846914,0.43297570344325,"VWA1","64856","von Willebrand factor A domain containing 1"
"ENSG00000215915",0.543603841878244,0.782224153915526,2.35545262591782,0.332090802977082,0.739820694593336,NA,"ATAD3C","219293","ATPase family AAA domain containing 3C"
"ENSG00000160072",423.792449298593,-0.791913063142261,0.0963989852748031,-8.21495227242036,2.12248659248602e-16,1.172604712801e-15,"ATAD3B","83858","ATPase family AAA domain containing 3B"
"ENSG00000197785",708.708441641375,-0.664393567006354,0.0803686685745816,-8.26682311390789,1.37575851381377e-16,7.67638143632771e-16,"ATAD3A","55210","ATPase family AAA domain containing 3A"
"ENSG00000205090",40.4750829217052,0.498602586014259,0.287012332534057,1.73721659139889,0.0823489474406149,0.127618069821037,"TMEM240","339453","transmembrane protein 240"
"ENSG00000160075",1860.23851801681,0.0489635170691222,0.0523375043496317,0.935534043465845,0.349513147425064,0.448068790804733,"SSU72","29101","SSU72 homolog, RNA polymerase II CTD phosphatase"
"ENSG00000228594",176.877295844935,0.336159166744887,0.138149330960757,2.43330289337686,0.0149617790240084,0.0270615400881444,"FNDC10","643988","fibronectin type III domain containing 10"
"ENSG00000197530",749.024212554717,0.419473944383317,0.0724014429825283,5.79372353786571,6.88427492373569e-09,2.47275521772991e-08,"MIB2","142678","MIB E3 ubiquitin protein ligase 2"
"ENSG00000189409",2.55268355396294,-0.0360487960695815,1.07457915719633,-0.0335468967810952,0.973238468635375,0.980525495326381,"MMP23B","8510","matrix metallopeptidase 23B"
"ENSG00000248333",477.512838582641,0.0728139169119088,0.0861652809684584,0.845049375961102,0.398083271503824,0.498809330011393,"CDK11B","984","cyclin dependent kinase 11B"
"ENSG00000189339",1751.0672425259,0.877807596280441,0.0571290888378549,15.3653351407696,2.79589118679297e-53,4.87851636757866e-52,"SLC35E2B","728661","solute carrier family 35 member E2B"
"ENSG00000008128",12.8597280624561,0.404689975405889,0.491825442714578,0.8228325341858,0.410603232689559,0.511526897378945,"CDK11A","728642","cyclin dependent kinase 11A"
"ENSG00000215790",44.3703655663435,1.26899653013417,0.276281511418623,4.5931286665483,4.36649651609649e-06,1.23394087734762e-05,NA,NA,NA
"ENSG00000008130",954.970824752761,0.0146934687093044,0.0657966165347975,0.223316478614574,0.82328920300356,0.875464217844363,"NADK","65220","NAD kinase"
"ENSG00000078369",9946.04557263681,0.0443434089272887,0.0391831884853344,1.13169475587434,0.257762787029686,0.345941540394497,"GNB1","2782","G protein subunit beta 1"
"ENSG00000178821",2.56465587233207,-0.513541655432651,1.06385410638699,-0.48271812116862,0.62929589471301,0.715248437692374,"TMEM52","339456","transmembrane protein 52"
"ENSG00000067606",34.0074868626391,0.560852465402184,0.315256601533691,1.77903480109122,0.0752340566024566,0.117739363463965,"PRKCZ","5590","protein kinase C zeta"
